==6243== Memcheck, a memory error detector
==6243== Copyright (C) 2002-2017, and GNU GPL'd, by Julian Seward et al.
==6243== Using Valgrind-3.13.0 and LibVEX; rerun with -h for copyright info
==6243== Command: ./bank input-1.txt
Account #2076962079974167 balance: 4216280.493600
Account #4659001911688512 balance: 618686.044740
Account #4659001911688512 balance: 619816.784740
Account #0793710490620664 balance: 4624511.662280
Account #4659001911688512 balance: 617720.974740
Account #7966380955913694 balance: 2972962.847940
Account #2076962079974167 balance: 4217205.993600
Account #8028716243309826 balance: 1541878.596300
Account #7966380955913694 balance: 2972092.507940
Account #7966380955913694 balance: 2972092.507940
Account #2076962079974167 balance: 4218490.853600
Account #8028716243309826 balance: 1542032.156300
Account #6847226299857821 balance: 395174.626080
Account #7966380955913694 balance: 2973812.427940
Account #6847226299857821 balance: 394707.306080
Account #8028716243309826 balance: 1542107.106300
Account #1093278990669429 balance: 1036645.391080
Account #4659001911688512 balance: 621443.734740
Account #1093278990669429 balance: 1036645.391080
Account #7966380955913694 balance: 2975912.427940
Account #8255171551994747 balance: 3294499.901850
Account #1093278990669429 balance: 1035662.431080
Account #2076962079974167 balance: 4214268.653600
Account #9980216556183046 balance: 2247293.094380
Account #2076962079974167 balance: 4214268.653600
Account #2076962079974167 balance: 4214113.503600
Account #1093278990669429 balance: 1036483.161080
Account #7966380955913694 balance: 2974581.937940
Account #6847226299857821 balance: 393748.136080
Account #4659001911688512 balance: 628334.484740
Account #0793710490620664 balance: 4628663.272280
Account #8255171551994747 balance: 3293942.821850
Account #7966380955913694 balance: 2973305.997940
Account #0793710490620664 balance: 4630837.192280
Account #1093278990669429 balance: 1037633.051080
Account #3491588839892013 balance: 3981641.678100
Account #9980216556183046 balance: 2250734.254380
Account #0793710490620664 balance: 4632474.042280
Account #4659001911688512 balance: 626687.744740
Account #7966380955913694 balance: 2975254.327940
Account #4659001911688512 balance: 625978.014740
Account #0793710490620664 balance: 4631628.252280
Account #2076962079974167 balance: 4208971.443600
Account #4659001911688512 balance: 622266.294740
Account #2076962079974167 balance: 4210855.033600
Account #1093278990669429 balance: 1051217.831080
Account #7966380955913694 balance: 2970840.837940
Account #8255171551994747 balance: 3289826.151850
Account #3491588839892013 balance: 3977970.158100
Account #8255171551994747 balance: 3288982.951850
Account #7966380955913694 balance: 2969337.477940
Account #0793710490620664 balance: 4629028.002280
Account #0793710490620664 balance: 4629366.132280
Account #8028716243309826 balance: 1542419.766300
Account #9980216556183046 balance: 2257043.444380
Account #6847226299857821 balance: 398993.626080
Account #6847226299857821 balance: 398993.626080
Account #9980216556183046 balance: 2255890.904380
Account #0793710490620664 balance: 4625662.182280
Account #6847226299857821 balance: 401788.776080
Account #6847226299857821 balance: 399680.756080
Account #6847226299857821 balance: 399820.186080
Account #3491588839892013 balance: 3964217.988100
Account #4659001911688512 balance: 627503.494740
Account #2076962079974167 balance: 4218335.363600
Account #0793710490620664 balance: 4625084.532280
Account #8028716243309826 balance: 1547890.096300
Account #8255171551994747 balance: 3284783.191850
Account #7966380955913694 balance: 2967412.707940
Account #0793710490620664 balance: 4627918.942280
Account #4659001911688512 balance: 628987.664740
Account #3491588839892013 balance: 3971232.138100
Account #3491588839892013 balance: 3971232.138100
Account #4659001911688512 balance: 630002.854740
Account #3491588839892013 balance: 3968237.028100
Account #4659001911688512 balance: 628862.474740
Account #8255171551994747 balance: 3287357.041850
Account #0793710490620664 balance: 4617948.972280
Account #3491588839892013 balance: 3969661.598100
Account #9980216556183046 balance: 2249125.304380
Account #3491588839892013 balance: 3967988.078100
Account #1093278990669429 balance: 1070302.321080
Account #8028716243309826 balance: 1549349.116300
Account #8028716243309826 balance: 1549349.116300
Account #0793710490620664 balance: 4619369.022280
Account #3491588839892013 balance: 3969411.208100
Account #1093278990669429 balance: 1069598.441080
Account #0793710490620664 balance: 4619369.022280
Account #3491588839892013 balance: 3968854.158100
Account #3491588839892013 balance: 3968854.158100
Account #7966380955913694 balance: 2975475.567940
Account #1093278990669429 balance: 1071319.911080
Account #8028716243309826 balance: 1551312.606300
Account #7966380955913694 balance: 2974789.517940
Account #3491588839892013 balance: 3967552.318100
Account #7966380955913694 balance: 2974939.307940
Account #1093278990669429 balance: 1072988.341080
Account #6847226299857821 balance: 391369.506080
Account #8028716243309826 balance: 1554274.086300
Account #8028716243309826 balance: 1554274.086300
Account #1093278990669429 balance: 1069840.111080
Account #3491588839892013 balance: 3970609.608100
Account #4659001911688512 balance: 631942.684740
Account #3491588839892013 balance: 3970609.608100
Account #3491588839892013 balance: 3971599.898100
Account #4659001911688512 balance: 634128.434740
Account #0793710490620664 balance: 4620207.492280
Account #8028716243309826 balance: 1552923.046300
Account #8028716243309826 balance: 1552923.046300
Account #1093278990669429 balance: 1072399.971080
Account #8028716243309826 balance: 1553090.786300
Account #7966380955913694 balance: 2968394.827940
Account #8028716243309826 balance: 1553090.786300
Account #1093278990669429 balance: 1074587.211080
Account #8255171551994747 balance: 3290169.841850
Account #2076962079974167 balance: 4209950.203600
Account #8028716243309826 balance: 1552632.356300
Account #6847226299857821 balance: 392457.176080
Account #3491588839892013 balance: 3973504.888100
Account #1093278990669429 balance: 1077998.131080
Account #9980216556183046 balance: 2241137.114380
Account #1093278990669429 balance: 1080903.841080
Account #8028716243309826 balance: 1551846.936300
Account #3491588839892013 balance: 3975579.798100
Account #8028716243309826 balance: 1551365.526300
Account #9980216556183046 balance: 2239007.364380
Account #8255171551994747 balance: 3284547.371850
Account #8255171551994747 balance: 3283363.301850
Account #8255171551994747 balance: 3283363.301850
Account #1093278990669429 balance: 1077596.071080
Account #3491588839892013 balance: 3981338.808100
Account #8028716243309826 balance: 1552792.206300
Account #4659001911688512 balance: 625788.114740
Account #0793710490620664 balance: 4616932.022280
Account #3491588839892013 balance: 3982257.358100
Account #2076962079974167 balance: 4208581.083600
Account #3491588839892013 balance: 3982782.908100
Account #7966380955913694 balance: 2964849.087940
Account #4659001911688512 balance: 623758.754740
Account #4659001911688512 balance: 622222.694740
Account #9980216556183046 balance: 2246038.724380
Account #7966380955913694 balance: 2970528.967940
Account #3491588839892013 balance: 3974193.248100
Account #6847226299857821 balance: 400243.196080
Account #9980216556183046 balance: 2240439.254380
Account #3491588839892013 balance: 3975601.428100
Account #8255171551994747 balance: 3282322.131850
Account #4659001911688512 balance: 629815.684740
Account #7966380955913694 balance: 2965725.797940
Account #9980216556183046 balance: 2234504.554380
Account #7966380955913694 balance: 2964960.657940
Account #2076962079974167 balance: 4205003.193600
Account #2076962079974167 balance: 4204640.563600
Account #2076962079974167 balance: 4204640.563600
Account #8255171551994747 balance: 3287678.771850
Account #8028716243309826 balance: 1559476.746300
Account #9980216556183046 balance: 2230756.684380
Account #1093278990669429 balance: 1090486.371080
Account #8028716243309826 balance: 1561299.196300
Account #7966380955913694 balance: 2962518.107940
Account #7966380955913694 balance: 2960908.397940
Account #2076962079974167 balance: 4209129.553600
Account #8028716243309826 balance: 1562707.186300
Account #0793710490620664 balance: 4624912.062280
Account #4659001911688512 balance: 635588.274740
Account #3491588839892013 balance: 3967145.048100
Account #6847226299857821 balance: 408013.806080
Account #0793710490620664 balance: 4623307.012280
Account #2076962079974167 balance: 4206152.853600
Account #4659001911688512 balance: 639059.084740
Account #8255171551994747 balance: 3277844.471850
Account #8028716243309826 balance: 1567771.596300
Account #6847226299857821 balance: 411532.936080
Account #8255171551994747 balance: 3277987.531850
Account #0793710490620664 balance: 4617037.192280
Account #7966380955913694 balance: 2959962.857940
Account #8255171551994747 balance: 3273406.391850
Account #7966380955913694 balance: 2960451.787940
Account #8028716243309826 balance: 1564108.526300
Account #2076962079974167 balance: 4192741.393600
Account #4659001911688512 balance: 648983.714740
Account #4659001911688512 balance: 650197.354740
Account #9980216556183046 balance: 2218495.064380
Account #6847226299857821 balance: 411887.836080
Account #4659001911688512 balance: 653326.984740
Account #6847226299857821 balance: 409579.156080
Account #3491588839892013 balance: 3965424.778100
Account #4659001911688512 balance: 647650.194740
Account #7966380955913694 balance: 2960949.277940
Account #6847226299857821 balance: 407301.616080
Account #4659001911688512 balance: 652737.364740
Account #1093278990669429 balance: 1108571.781080
Account #7966380955913694 balance: 2962714.057940
Account #4659001911688512 balance: 656649.614740
Account #8028716243309826 balance: 1567600.276300
Account #8255171551994747 balance: 3271257.401850
Account #7966380955913694 balance: 2965834.527940
Account #3491588839892013 balance: 3950794.468100
Account #6847226299857821 balance: 404569.666080
Account #0793710490620664 balance: 4621335.322280
Account #9980216556183046 balance: 2229076.924380
Account #6847226299857821 balance: 405598.906080
Account #4659001911688512 balance: 659889.754740
Account #6847226299857821 balance: 404395.356080
Account #6847226299857821 balance: 407505.256080
Account #7966380955913694 balance: 2966669.017940
Account #6847226299857821 balance: 406239.706080
Account #0793710490620664 balance: 4621632.702280
Account #6847226299857821 balance: 406554.466080
Account #6847226299857821 balance: 406236.516080
Account #2076962079974167 balance: 4188824.503600
Account #3491588839892013 balance: 3943155.988100
Account #4659001911688512 balance: 649661.064740
Account #8028716243309826 balance: 1571122.306300
Account #8028716243309826 balance: 1571122.306300
Account #7966380955913694 balance: 2965105.177940
Account #1093278990669429 balance: 1118093.061080
Account #3491588839892013 balance: 3939714.728100
Account #7966380955913694 balance: 2966097.277940
Account #6847226299857821 balance: 410813.916080
Account #0793710490620664 balance: 4620280.712280
Account #4659001911688512 balance: 650618.874740
Account #4659001911688512 balance: 654930.384740
Account #6847226299857821 balance: 405378.446080
Account #7966380955913694 balance: 2969600.427940
Account #3491588839892013 balance: 3941434.258100
Account #6847226299857821 balance: 407609.136080
Account #6847226299857821 balance: 407609.136080
Account #2076962079974167 balance: 4174232.183600
Account #9980216556183046 balance: 2232846.874380
Account #2076962079974167 balance: 4174232.183600
Account #0793710490620664 balance: 4621901.032280
Account #6847226299857821 balance: 412053.506080
Account #7966380955913694 balance: 2965068.607940
Account #3491588839892013 balance: 3937648.858100
Account #9980216556183046 balance: 2233033.214380
Account #6847226299857821 balance: 409286.986080
Account #7966380955913694 balance: 2961081.527940
Account #8028716243309826 balance: 1577322.546300
Account #0793710490620664 balance: 4621714.912280
Account #4659001911688512 balance: 659358.154740
Account #3491588839892013 balance: 3935150.238100
Account #1093278990669429 balance: 1118245.391080
Account #9980216556183046 balance: 2229609.554380
Account #4659001911688512 balance: 657841.824740
Account #3491588839892013 balance: 3936241.958100
Account #1093278990669429 balance: 1117408.121080
Account #8255171551994747 balance: 3275315.731850
Account #8028716243309826 balance: 1577702.686300
Account #6847226299857821 balance: 405610.036080
Account #4659001911688512 balance: 655422.014740
Account #9980216556183046 balance: 2228080.314380
Account #0793710490620664 balance: 4623069.822280
Account #0793710490620664 balance: 4623553.782280
Account #4659001911688512 balance: 662222.874740
Account #8255171551994747 balance: 3265681.971850
Account #6847226299857821 balance: 403004.756080
Account #3491588839892013 balance: 3931964.768100
Account #1093278990669429 balance: 1121132.681080
Account #2076962079974167 balance: 4185691.743600
Account #6847226299857821 balance: 401394.066080
Account #3491588839892013 balance: 3928110.408100
Account #9980216556183046 balance: 2223015.184380
Account #0793710490620664 balance: 4628144.902280
Account #7966380955913694 balance: 2960658.657940
Account #0793710490620664 balance: 4628126.372280
Account #0793710490620664 balance: 4628126.372280
Account #1093278990669429 balance: 1115193.301080
Account #9980216556183046 balance: 2225402.264380
Account #9980216556183046 balance: 2225680.814380
Account #7966380955913694 balance: 2959070.777940
Account #3491588839892013 balance: 3925757.678100
Account #4659001911688512 balance: 667374.234740
Account #4659001911688512 balance: 666686.204740
Account #7966380955913694 balance: 2961739.617940
Account #4659001911688512 balance: 666320.964740
Account #2076962079974167 balance: 4184386.083600
Account #9980216556183046 balance: 2223356.494380
Account #9980216556183046 balance: 2224491.504380
Account #3491588839892013 balance: 3927758.518100
Account #0793710490620664 balance: 4622018.942280
Account #7966380955913694 balance: 2959815.727940
Account #7966380955913694 balance: 2959815.727940
Account #8028716243309826 balance: 1579091.746300
Account #9980216556183046 balance: 2219559.454380
Account #4659001911688512 balance: 667000.394740
Account #8255171551994747 balance: 3280752.321850
Account #4659001911688512 balance: 664848.504740
Account #8255171551994747 balance: 3279224.441850
Account #9980216556183046 balance: 2223733.424380
Account #8255171551994747 balance: 3278999.561850
Account #0793710490620664 balance: 4628123.492280
Account #7966380955913694 balance: 2950032.097940
Account #7966380955913694 balance: 2950032.097940
Account #9980216556183046 balance: 2223503.034380
Account #8255171551994747 balance: 3273735.731850
Account #9980216556183046 balance: 2222370.894380
Account #7966380955913694 balance: 2947822.757940
Account #6847226299857821 balance: 402198.416080
Account #7966380955913694 balance: 2945106.757940
Account #2076962079974167 balance: 4173586.893600
Account #7966380955913694 balance: 2945171.577940
Account #6847226299857821 balance: 403758.686080
Account #4659001911688512 balance: 661437.134740
Account #1093278990669429 balance: 1126281.151080
Account #7966380955913694 balance: 2944720.147940
Account #9980216556183046 balance: 2220081.094380
Account #8255171551994747 balance: 3268027.911850
Account #0793710490620664 balance: 4640996.712280
Account #9980216556183046 balance: 2219542.714380
Account #8028716243309826 balance: 1577382.096300
Account #1093278990669429 balance: 1127690.051080
Account #3491588839892013 balance: 3915733.838100
Account #8028716243309826 balance: 1579082.726300
Account #6847226299857821 balance: 405607.526080
Account #8028716243309826 balance: 1579516.896300
Account #1093278990669429 balance: 1124082.451080
Account #6847226299857821 balance: 406293.616080
Account #9980216556183046 balance: 2215280.794380
Account #4659001911688512 balance: 653868.514740
Account #8028716243309826 balance: 1582172.456300
Account #2076962079974167 balance: 4176589.003600
Account #9980216556183046 balance: 2219877.044380
Account #8028716243309826 balance: 1582172.456300
Account #4659001911688512 balance: 658175.634740
Account #0793710490620664 balance: 4637728.622280
Account #8255171551994747 balance: 3273447.941850
Account #3491588839892013 balance: 3912965.218100
Account #1093278990669429 balance: 1124296.671080
Account #0793710490620664 balance: 4640568.252280
Account #0793710490620664 balance: 4640481.932280
Account #7966380955913694 balance: 2940652.277940
Account #7966380955913694 balance: 2940652.277940
Account #8028716243309826 balance: 1582172.456300
Account #3491588839892013 balance: 3910435.628100
Account #3491588839892013 balance: 3910682.118100
Account #7966380955913694 balance: 2937024.787940
Account #8255171551994747 balance: 3273887.191850
Account #8255171551994747 balance: 3273887.191850
Account #8028716243309826 balance: 1580854.086300
Account #1093278990669429 balance: 1125045.251080
Account #6847226299857821 balance: 414547.246080
Account #8255171551994747 balance: 3273744.001850
Account #1093278990669429 balance: 1128266.801080
Account #0793710490620664 balance: 4634793.402280
Account #2076962079974167 balance: 4174768.913600
Account #7966380955913694 balance: 2938662.107940
Account #2076962079974167 balance: 4172005.303600
Account #9980216556183046 balance: 2224863.634380
Account #3491588839892013 balance: 3907810.748100
Account #3491588839892013 balance: 3907810.748100
Account #2076962079974167 balance: 4164873.543600
Account #4659001911688512 balance: 659259.104740
Account #4659001911688512 balance: 659259.104740
Account #1093278990669429 balance: 1132009.281080
Account #1093278990669429 balance: 1137303.751080
Account #2076962079974167 balance: 4163889.893600
Account #9980216556183046 balance: 2222469.724380
Account #3491588839892013 balance: 3909516.928100
Account #1093278990669429 balance: 1137752.721080
Account #6847226299857821 balance: 421556.936080
Account #8255171551994747 balance: 3277859.571850
Account #4659001911688512 balance: 662984.934740
Account #8028716243309826 balance: 1581214.406300
Account #2076962079974167 balance: 4164025.333600
Account #2076962079974167 balance: 4164025.333600
Account #8028716243309826 balance: 1583725.906300
Account #9980216556183046 balance: 2222799.874380
Account #9980216556183046 balance: 2224464.554380
Account #0793710490620664 balance: 4632292.752280
Account #0793710490620664 balance: 4633306.052280
Account #9980216556183046 balance: 2221320.114380
Account #9980216556183046 balance: 2220991.184380
Account #8255171551994747 balance: 3280367.571850
Account #0793710490620664 balance: 4633464.222280
Account #1093278990669429 balance: 1139053.611080
Account #0793710490620664 balance: 4632258.692280
Account #8255171551994747 balance: 3280284.841850
Account #2076962079974167 balance: 4162511.083600
Account #8255171551994747 balance: 3281848.061850
Account #2076962079974167 balance: 4164439.343600
Account #8028716243309826 balance: 1578116.096300
Account #6847226299857821 balance: 435933.036080
Account #6847226299857821 balance: 433846.856080
Account #7966380955913694 balance: 2929515.267940
Account #1093278990669429 balance: 1137216.981080
Account #1093278990669429 balance: 1135745.281080
Account #3491588839892013 balance: 3911943.448100
Account #0793710490620664 balance: 4634182.402280
Account #3491588839892013 balance: 3912868.308100
Account #9980216556183046 balance: 2229572.664380
Account #8255171551994747 balance: 3283879.421850
Account #4659001911688512 balance: 662652.574740
Account #6847226299857821 balance: 439074.696080
Account #0793710490620664 balance: 4627928.332280
Account #8028716243309826 balance: 1575397.516300
Account #3491588839892013 balance: 3915630.158100
Account #2076962079974167 balance: 4158817.553600
Account #7966380955913694 balance: 2915680.497940
Account #8028716243309826 balance: 1575434.486300
Account #6847226299857821 balance: 441118.696080
Account #0793710490620664 balance: 4623693.722280
Account #6847226299857821 balance: 441568.496080
Account #2076962079974167 balance: 4159626.223600
Account #8028716243309826 balance: 1577682.196300
Account #9980216556183046 balance: 2221639.564380
Account #7966380955913694 balance: 2915764.237940
Account #0793710490620664 balance: 4625444.142280
Account #8255171551994747 balance: 3291021.941850
Account #2076962079974167 balance: 4159953.263600
Account #3491588839892013 balance: 3910145.088100
Account #3491588839892013 balance: 3907587.998100
Account #8028716243309826 balance: 1576317.716300
Account #3491588839892013 balance: 3907281.658100
